image_name,image_width,image_height,latitude,longitude,altitude,date,color_count,red,green,blue,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9
image_013.jpeg,3264,2448,42.36,-71.09,39.48,2016-10-01,"[1096, 783, 754, 489, 414, 3, 2, 2, 2, 2, 1]","[204, 102, 204, 51, 204, 51, 204, 255, 153, 204, 153]","[204, 51, 204, 51, 255, 102, 102, 204, 102, 153, 255]","[255, 51, 204, 51, 255, 0, 153, 153, 204, 255, 204]",#ccccff,#663333,#cccccc,#333333,#336600,#cc6699,#ffcc99,#9966cc,#cc99ff,#99ffcc
image_027.jpeg,3264,2448,40.71,-73.99,1.75,2014-12-01,"[1006, 858, 734, 512, 494, 54, 54, 53, 52, 2, 1]","[153, 255, 102, 204, 51, 0, 204, 153, 51, 153, 204]","[153, 255, 102, 204, 51, 51, 153, 153, 51, 102, 153]","[153, 255, 102, 204, 51, 0, 204, 204, 0, 51, 102]",#999999,#ffffff,#666666,#cccccc,#003300,#cc99cc,#9999cc,#333300,#996633,#cc9966
image_029.jpeg,2448,3264,25.12,121.51,27.15,2014-12-01,"[810, 643, 608, 529, 488, 4, 3, 2, 2, 1, 1]","[51, 153, 204, 0, 204, 153, 102, 153, 153, 102, 102]","[51, 153, 153, 0, 204, 51, 153, 51, 204, 51, 204]","[51, 153, 153, 0, 153, 51, 204, 102, 102, 0, 204]",#333333,#999999,#cc9999,#000000,#993333,#6699cc,#993366,#99cc66,#663300,#66cccc
image_030.jpeg,2448,2448,25.1,121.51,6.58,2015-01-01,"[2308, 1449, 587, 525, 490, 1, 1, 1, 1, 1, 1]","[102, 51, 102, 102, 153, 153, 255, 204, 153, 204, 153]","[102, 51, 102, 51, 153, 204, 204, 102, 255, 153, 255]","[102, 51, 51, 51, 153, 102, 102, 153, 204, 255, 255]",#666666,#333333,#666633,#663333,#99cc66,#ffcc66,#cc6699,#99ffcc,#cc99ff,#99ffff
image_031.jpeg,2448,3264,25.06,121.56,-7.17,2015-01-01,"[1209, 712, 585, 495, 359, 1, 1, 1, 1, 1, 1]","[51, 102, 153, 204, 204, 0, 204, 102, 204, 153, 153]","[51, 102, 153, 255, 204, 51, 102, 51, 102, 255, 204]","[51, 102, 153, 255, 255, 102, 102, 153, 153, 204, 255]",#333333,#666666,#999999,#ccffff,#003366,#cc6666,#663399,#cc6699,#99ffcc,#99ccff
image_033.jpeg,2448,3264,22.34,114.2,38.53,2015-02-01,"[1290, 729, 596, 426, 310, 3, 2, 1, 1, 1, 1]","[51, 255, 102, 204, 153, 255, 204, 204, 255, 204, 153]","[51, 255, 102, 204, 153, 204, 153, 153, 153, 255, 255]","[51, 255, 102, 204, 204, 153, 255, 102, 153, 153, 204]",#333333,#ffffff,#666666,#cccccc,#ffcc99,#cc99ff,#cc9966,#ff9999,#ccff99,#99ffcc
image_034.jpeg,2448,3264,25.1,121.52,21.04,2015-02-01,"[880, 868, 767, 617, 591, 5, 5, 3, 3, 1, 1]","[153, 102, 204, 153, 153, 51, 102, 102, 204, 153, 204]","[204, 102, 204, 153, 102, 102, 153, 204, 255, 204, 255]","[204, 102, 204, 204, 102, 153, 255, 255, 255, 102, 153]",#99cccc,#666666,#cccccc,#9999cc,#336699,#6699ff,#66ccff,#ccffff,#99cc66,#ccff99
image_035.jpeg,2448,3264,25.05,121.78,176.72,2015-03-01,"[3268, 879, 660, 372, 316, 3, 2, 2, 2, 1, 1]","[51, 51, 102, 102, 102, 153, 204, 204, 204, 0, 255]","[51, 51, 51, 102, 102, 102, 102, 204, 102, 0, 204]","[51, 102, 51, 102, 51, 153, 102, 102, 153, 102, 102]",#333333,#333366,#663333,#666666,#996699,#cc6666,#cccc66,#cc6699,#000066,#ffcc66
image_036.jpeg,2448,3264,21.04,105.85,19.52,2015-03-01,"[1950, 719, 461, 423, 346, 1, 1, 1, 1, 1, 1]","[51, 102, 102, 51, 153, 102, 102, 153, 51, 153, 153]","[51, 102, 51, 51, 153, 102, 0, 153, 0, 51, 204]","[51, 102, 51, 0, 153, 0, 51, 51, 102, 102, 102]",#333333,#666666,#663333,#333300,#666600,#660033,#999933,#330066,#993366,#99cc66
image_037.jpeg,2448,3264,22.33,103.85,1399.73,2015-03-01,"[1198, 642, 640, 592, 396, 1, 1, 1, 1, 1, 1]","[51, 102, 102, 51, 153, 255, 204, 255, 102, 255, 204]","[51, 102, 102, 51, 153, 153, 102, 153, 204, 255, 153]","[51, 51, 102, 0, 102, 102, 153, 153, 204, 204, 255]",#333333,#666633,#666666,#333300,#ff9966,#cc6699,#ff9999,#66cccc,#ffffcc,#cc99ff
